host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-9, 0.000000, 0.000400, 0.001206, 0.002006, 0.002006
rank-8, 0.000000, 0.000300, 0.000905, 0.001906, 0.002006
rank-7, 0.000000, 0.000200, 0.001006, 0.001806, 0.002006
rank-6, 0.000000, 0.000300, 0.000905, 0.001906, 0.002006
rank-5, 0.000000, 0.000200, 0.000803, 0.001806, 0.002006
rank-4, 0.000000, 0.000100, 0.001005, 0.001706, 0.002006
rank-3, 0.000000, 0.000200, 0.001006, 0.001806, 0.002006
rank-2, 0.000000, 0.000100, 0.001005, 0.001706, 0.002006
rank-1, 0.000000, 0.000000, 0.001206, 0.001606, 0.002006
